no.,recovered,healthy,rate
0,98,4,6.149265164891068
1,99,3,4.672262669995413
2,101,1,5.953015180933565
3,102,0,4.665627793290565
4,101,1,4.3221045108808855
5,101,1,5.929052152247035
6,102,0,6.22163894932434
7,99,3,5.741247384413033
8,102,0,4.427482249746605
9,101,1,7.250883414894357
10,101,1,5.379933553505092
11,101,1,5.313875718452271
12,100,2,6.0226710318806935
13,97,5,6.350208676395066
14,102,0,5.259697993912577
15,102,0,5.403235298653365
16,101,1,5.350671250584149
17,102,0,6.770257243117527
18,102,0,6.425662627628146
19,101,1,5.66852263800149
20,102,0,6.51475589845936
21,99,3,5.723356971674707
22,102,0,5.204207278713986
23,101,1,5.907685414317998
24,101,1,5.704199102634109
25,102,0,5.194391587377932
26,102,0,5.960278088755157
27,101,1,4.090597572453483
28,99,3,6.0098754444888
29,101,1,3.4037683019833045
30,99,3,4.052882275556479
31,100,2,6.515012458669367
32,102,0,6.1105386100127115
33,100,2,5.999873135530517
34,100,2,5.008581275283469
35,99,3,7.30425068520358
36,102,0,5.688573405699433
37,99,3,3.602172595931886
38,101,1,4.134168321966949
39,101,1,5.304472410840437
40,101,1,4.7821469550610125
41,100,2,4.903962307247606
42,101,1,5.222195689243359
43,102,0,4.462756980949147
44,100,2,5.755106654008598
45,100,2,6.779804859778036
46,101,1,5.1447055962523836
47,101,1,6.485977145833123
48,99,3,5.109736885435165
49,102,0,4.689651188815058
50,102,0,5.1629795665615275
51,99,3,6.513109426227974
52,99,3,5.447327485757795
53,102,0,5.862523902000219
54,101,1,4.334251014857333
55,101,1,6.355127725618134
56,97,5,5.0468023365645625
57,102,0,5.1567006029612825
58,101,1,6.370922490310299
59,100,2,6.435100465814591
60,100,2,6.5027136316313605
61,99,3,4.796814158138265
62,100,2,5.234003783833092
63,102,0,6.159486260079862
64,98,4,5.903612124249644
65,99,3,5.5266194034846015
66,102,0,5.132966911970277
67,101,1,4.0561828612100745
68,101,1,5.015792749335991
69,102,0,6.698519172853302
70,101,1,5.944953904379116
71,101,1,7.081347758715652
72,98,4,5.3164849035399975
73,98,4,5.542175334273908
74,100,2,6.159938586588122
75,99,3,3.320357272879435
76,102,0,5.530485840359233
77,102,0,6.440161337841171
78,100,2,5.7323687597612505
79,102,0,6.225570901357971
80,98,4,4.663143588227007
81,101,1,5.387916701086259
82,99,3,4.153699394016264
83,102,0,6.989518377891026
84,101,1,6.193788696429583
85,97,5,5.7631156153819285
86,102,0,5.361973557302738
87,102,0,5.029219788557496
88,97,5,5.672635944670337
89,102,0,5.159388392765452
90,101,1,3.8585582663453435
91,101,1,6.185130117339819
92,102,0,4.16819418279158
93,102,0,6.154843432928517
94,99,3,3.905483869618633
95,99,3,5.681175698343868
96,100,2,6.02096850561177
97,97,5,5.144167828654824
98,102,0,4.770913493339717
99,101,1,5.950717125909023
